"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
43.9192664839463,30.8384945845941,21.7794216413676,27.764482425172,35.4647129272985,34.5926618668527,14.4102740201787,42.9753181119403,55.5175909883226,20.7168737098971,5.14575138322001,10.5157063763856,22.6099426482997,32.5545560317704,38.4181583317398,27.6153298183696
43.923458096983,30.7785259989108,21.743659864384,27.7151261271593,35.4680081127845,34.5476739468714,14.3593207438549,42.9152985250357,55.4946556042927,20.7045490645157,5.08278080187209,10.4368213304162,22.5592813692284,32.5254089787982,38.3858683573466,27.6002672832952
43.9272028859882,30.7201000081894,21.7075992591674,27.6663997309121,35.4708243146796,34.5021236338828,14.3093422288987,42.8547692033013,55.4712527930587,20.6920760746273,5.02096363678567,10.3584451376835,22.5089821793072,32.4959141977645,38.3530556434583,27.5848470004167
43.9304960124761,30.6632737084389,21.6712352002894,27.6183039822206,35.4731784623129,34.4560375364194,14.2603081416512,42.7937564849251,55.4473723973304,20.6795189103174,4.96021634809706,10.2805839436092,22.4590539055295,32.4660784690614,38.3197472674727,27.5690838203152
43.9333326379608,30.607689960159,21.6345630623215,27.570839626875,35.4750874850133,34.4094422630136,14.2121881484538,42.7322867080948,55.4230042598176,20.6669417416714,4.90039678235928,10.2032438936147,22.4094964238561,32.4359085730809,38.2859703067877,27.5529925935715
43.9357079239564,30.5538052517653,21.5975782198352,27.5240074106655,35.47656831211,34.3623644221978,14.1649501277262,42.6703740202605,55.3981382232304,20.6544087387747,4.84219033828719,10.1264311331217,22.3602147472387,32.4054112902152,38.2517518388011,27.5365881707668
43.937617031977,30.5020646760596,21.5602774367945,27.4778080793822,35.4776549640857,34.3148306225044,14.1184495065465,42.6080068644118,55.372765395375,20.641964197438,4.78603035344409,10.0500793146777,22.3111818244555,32.3745934008563,38.2171189409106,27.5198854024819
43.9390551235367,30.4522693903565,21.5227119404039,27.4321527794562,35.4782385588088,34.2668674724659,14.0728263224619,42.5452211956289,55.3470608933416,20.6292764528753,4.7324922362673,9.97395634181103,22.2626120466128,32.3434616853963,38.1820986905141,27.5028991392978
43.9400173601497,30.4061481575892,21.4849924614597,27.3867335985659,35.4783970673207,34.2185015806145,14.0284860482699,42.4820085272012,55.3210801093219,20.616411118479,4.68115981237808,9.89824851114007,22.2147119779157,32.3120229445172,38.146718070159,27.4856310063162
43.94049890333,30.3634701046178,21.4470145066378,27.3417784730609,35.4781041970791,34.1697467182716,13.9858369845332,42.4183186165551,55.294654074235,20.6035709940653,4.63205964906336,9.823231082932,22.1675469730726,32.2803126203103,38.1108777913924,27.4680579350986
43.9405018838259,30.3231218161236,21.4086645274245,27.2976314230384,35.477222988094,34.120510722752,13.9452725654304,42.354025151483,55.2676109917507,20.5908692455116,4.58628212883347,9.74917931745396,22.1211065640306,32.2483563734826,38.0744633995621,27.4501414096542
43.9403094039669,30.28632267299,21.3698294534515,27.2546126149827,35.47564225264,34.0707736710678,13.9066875978326,42.2890163267441,55.2397790655386,20.5784189966487,4.54336465585868,9.67633043861943,22.0754879412177,32.2160969837453,38.0374771019407,27.4318402081548
43.9400150055013,30.2535495868116,21.3304043521854,27.2130422153783,35.4733753412607,34.0204948090475,13.8699164412307,42.223083348153,55.2109911773044,20.5661122395098,4.50331006165126,9.60443617919507,22.0307028972663,32.1834750613822,37.9999088811818,27.4131131087724
43.9394643401493,30.2235406969885,21.2903172482358,27.1731665247918,35.4699706817986,33.9696260274204,13.8352143967422,42.1562727690237,55.18121829428,20.552879998924,4.46631071796788,9.53332842422271,21.9868833462646,32.1504312166777,37.9617487199388,27.3939188896791
43.9385032842847,30.1964433871787,21.2499157487314,27.1346704548082,35.4653264254983,33.918119216916,13.8028899538642,42.0886323541073,55.1504868278694,20.539141548465,4.43215132465429,9.46318846349436,21.9441450205159,32.1169060599155,37.9229866008655,27.3742163290467
43.9369777142816,30.174095994908,21.2092127510173,27.097382039978,35.4599967199317,33.8659262682634,13.7732006587035,42.020210239073,55.1188445396304,20.5255695977046,4.40085420058823,9.3942662247785,21.9024201939504,32.08284020138,37.8836125066153,27.3539545933227
43.934733506514,30.1558193472836,21.1680642086871,27.06138470216,35.4538923153086,33.8129990721923,13.745739216123,41.9510748241535,55.086354905788,20.5124976316748,4.37244483400375,9.32680903821524,21.8615200344319,32.0481741816524,37.8436159297621,27.3330938151868
43.9316165373557,30.1400974342021,21.1263316153659,27.0269956719219,35.4470583916558,33.7592873617892,13.7205033202659,41.8809997092345,55.0530814025671,20.5000845573213,4.34650153152068,9.26075078763111,21.8216086956079,32.0128750381924,37.8028377112786,27.3116334634867
43.9274726831809,30.1271355739995,21.0838706892906,26.9943805933671,35.4392016089067,33.7046590340556,13.697398631432,41.8098042156616,55.0190631073881,20.487889879901,4.32371742529991,9.1959093065943,21.782820904745,31.9769970057515,37.7610659875861,27.2895649267034
43.9221482099133,30.1166098770958,21.0405256466767,26.9636830277792,35.429793927481,33.6489338796869,13.6766391801521,41.7374376439055,54.983822154935,20.4743706088199,4.30334860240645,9.1322434333475,21.7451515861013,31.9405332485461,37.7183415898592,27.2668795933182
43.9155608807677,30.1094149497606,20.9964714621789,26.9345169358326,35.4185863873806,33.5921609737829,13.6582585119691,41.6638677661691,54.9470560932853,20.459507038374,4.28486614425722,9.06993299860059,21.7084181268009,31.9034677622025,37.6746974090207,27.2435688518121
43.9081620703147,30.1062501339959,20.9519992316071,26.9064516919952,35.4058015632001,33.5343775467287,13.6412771123569,41.5892036545292,54.908855988788,20.44325054933,4.26859221432291,9.00919595439266,21.672724908403,31.8657845423468,37.6301620407033,27.2196240906663
43.9001863635829,30.1055807517733,20.9070720732321,26.8795534744867,35.3921618439694,33.4755955097883,13.625672971359,41.5136670320264,54.8694064588936,20.4258928711208,4.2547806463299,8.95011437938685,21.638096896645,31.8274675846053,37.5847640805393,27.1950187106852
43.8916034529726,30.1069387190631,20.8616483970127,26.8547707349258,35.3777100100238,33.4158267209624,13.6122831963744,41.4371677876766,54.8289104212511,20.4073559327155,4.2430973173999,8.89246250717056,21.6044339353942,31.7885008846039,37.5385321241613,27.1696241109928
43.8823847170826,30.1104277022687,20.8156584247382,26.8326902831186,35.362212715884,33.3550830382517,13.6012447864479,41.3595399926677,54.7875257278852,20.3882096344585,4.233533365636,8.83625501547323,21.5716877409843,31.7488658126191,37.4914932758687,27.14340565291
43.8725015345114,30.1163943111216,20.7690468008185,26.813384385687,35.3456725808202,33.2933797796145,13.5926513318978,41.2807372752196,54.7448948534149,20.368614099182,4.22572272600718,8.7814384103821,21.5397339927978,31.7085101691721,37.4435383312733,27.1163784679561
43.8619252838578,30.1251036306787,20.7216659921361,26.7964895886884,35.3282638075434,33.230717917861,13.5854319067136,41.200684232594,54.7008226041941,20.3482119215227,4.21926941743974,8.72818009304357,21.5085564642091,31.6673642185145,37.3944316816992,27.0885586968947
43.8506273437204,30.136063939188,20.6733524838082,26.7811772775855,35.3101096458608,33.1667110471908,13.578512161362,41.1196135464397,54.6555160211269,20.3268401560444,4.21492618530986,8.67662431020205,21.4783599116272,31.6254318902751,37.3441468354968,27.059962480489
43.8385790926979,30.1487611833405,20.6242488437051,26.7670897868336,35.2903651241529,33.1012394324959,13.5717077678778,41.037566964223,54.6089943829519,20.3038968085666,4.21223832381312,8.62660276945733,21.4490109083734,31.5827339473818,37.2926851476346,27.0306059595025
43.8257710572395,30.1633399928301,20.5744718636778,26.7542628995778,35.2685588835038,33.0344044910942,13.5656326086298,40.9544025337427,54.5613825388622,20.2784208079809,4.21099434149432,8.57809224188653,21.4203051398668,31.5392911527625,37.2400843506233,27.0004861054765
43.8123236228451,30.1802081791578,20.5241296145095,26.7433936902548,35.2448490150336,32.9662221801583,13.5600834503761,40.8700986166934,54.5127474136045,20.2507842610994,4.2112504431328,8.53108446364295,21.3922508582101,31.495124269345,37.186389390845,26.9694447267472
43.7977087644977,30.1990819752299,20.4733570516626,26.7352547506754,35.2195123435808,32.8967413840486,13.5549073890886,40.7847410646584,54.462786792712,20.2210303337155,4.21272322548205,8.48551793844376,21.3648553990175,31.4502540600573,37.1316452146822,26.9373970572427
43.7815070699718,30.2199147539671,20.42224523381,26.7298822770453,35.1929380983816,32.8260215052895,13.5498314369406,40.698452689987,54.4112748964685,20.188977954116,4.21576297050099,8.44153819352079,21.3380182655201,31.4046941316429,37.0758939032776,26.9043648927111
43.7638476535884,30.2426742529082,20.3702369095593,26.7266627449658,35.1652549818118,32.7541270705993,13.5439680546919,40.6112673674057,54.3585788322621,20.1544951046332,4.22010312999575,8.39910108932578,21.3116827992645,31.3584072094704,37.0190595282037,26.8703876644219
