"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
14.8472904659456,20.9442790611241,12.2105140445555,17.875613093365,26.7641499983768,14.1606617501877,11.3461172488361,39.1031495972733,29.3599242346235,27.6980411803013,15.3530745820221,7.71562564081237,9.92135637525488,21.4885458672951,23.1585096391331,19.2942118793867
14.9679610183194,20.8809032581832,12.2083747167874,17.9036774345379,26.8602547206452,14.1393876272509,11.329085080148,39.1058416019925,29.395075124953,27.7255139536956,15.2564863594628,7.61559366988689,9.89914269207341,21.5442728573861,23.2713374838664,19.4218412612718
15.0886983787817,20.8193008506666,12.206143626338,17.9327195183824,26.9561879769058,14.1189711866103,11.3137776106305,39.1087386370436,29.4323327045393,27.7537921906419,15.161173252993,7.51615505285859,9.87755420280271,21.5998082208249,23.3841546869811,19.5491701265004
15.2095008243909,20.7595872766827,12.2038339340993,17.9627355385305,27.0519426716795,14.099438674896,11.3001920203445,39.1118085536164,29.4716079122295,27.7829182344406,15.0670289412635,7.41731672593783,9.8566169073524,21.6551502835111,23.4969592308438,19.6761968893157
15.3303666322053,20.7012236392118,12.2014588009632,17.9937216886138,27.1475117094873,14.080816338738,11.2883254893508,39.1150192029005,29.5128116868707,27.8129344283917,14.973986907485,7.31908562533493,9.83632371567667,21.7102973713444,23.609749097821,19.8029199639613
15.4512940792833,20.6450541556629,12.1990313878215,18.0256741622644,27.2428879948501,14.0631304247665,11.2781704901333,39.1183247544978,29.55585496731,27.8438831157956,14.8828783306521,7.22146868726021,9.81640078315308,21.7652478102244,23.7225222702791,19.9293377646806
15.5722814426832,20.5916334987186,12.1965697144878,18.0585891531141,27.3380720768033,14.0464071796114,11.2692369898443,39.1215705562537,29.6006517525936,27.8757671743346,14.7940851391945,7.12438347009501,9.79697520827502,21.8199999260506,23.8352767305844,20.0554487057171
15.6933269994633,20.5399902292498,12.1942099479446,18.092265292745,27.4331551446686,14.030672849903,11.2613467558547,39.1251116074898,29.6471326042768,27.908043811413,14.7078805794928,7.02755131324818,9.77852556437185,21.8745520447227,23.9480104611037,20.1812512013143
15.814429026682,20.4928149404859,12.1919588998536,18.1263138729048,27.5282126575845,14.0159536822712,11.2553531433879,39.1291820446137,29.694976477739,27.9412491378959,14.6245761058165,6.93120130230012,9.76132950131443,21.9289027658481,24.0607213455872,20.3068409113292
15.9355858013976,20.450365890291,12.1894841233135,18.1610161306848,27.6231570066814,14.0021386387934,11.2521791135275,39.1337894726104,29.7447920809511,27.9758239289048,14.5445756869242,6.83566789300276,9.74508982575244,21.9831291459565,24.1734022806059,20.4323579870649
