"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73"
41.1884731927984,40.9401823258312,31.0910085430264,32.295880506347,54.6386691693475,54.318470185137,19.2080102372084,31.8873959720602,34.695987359378,45.7757305337572,28.2317678083339,29.6820464256247,40.5842326069596,33.3725956266502,24.222873598789,32.7090778194722,21.1764027037788,35.6726491413928,30.3863654124979,20.911737890915,39.7837860127515,20.6885670113332,15.9123370547879,23.0661187674493,29.3299842797966,32.2023908753191,30.3779227480977,40.616743042168,8.35092185630234,26.5260514515085,25.5764710395597,18.3303399001899,34.2715611485407,21.0517722374783,19.5103613918986,33.9285613172839,35.9353640887915,27.7204564346113,22.9704638002719,25.1396310116433,25.8639716424039,34.1123156215566,26.1943297691068,34.4788233236131,31.9603480008478,27.6134353471257,59.9528636237447,23.5439627054104,38.1041959313002,25.2010549024097,24.1663786302508,34.8712370223304,30.2862380117965,39.7796170315022,37.5683067364177,33.3250846829709,33.5472602495196,29.6436874885303,39.1112379681977,38.7330077908881,34.0262935045485,33.961781864278,28.0081423531506,30.2060027385686,46.8492834798289,38.2145417137939,30.3821950941675,35.4769516221335,30.1453266805111,34.1013795339482,33.1406791378902,28.6347705577393,32.8537819725956
41.1562633144116,40.9040764210605,31.0530660057904,32.2648741839148,54.6456156651359,54.2779912965566,19.2044979467821,31.9136219885988,34.7060048917829,45.7715404326512,28.1816923110718,29.6509223057437,40.5619058423739,33.3652276986413,24.2048307297282,32.6821624378698,21.1253877877619,35.6965572411373,30.3301863860048,20.8805390744363,39.7411434599813,20.6327235411843,15.93050999656,23.0264493876602,29.3217914453445,32.192695699964,30.3362739972128,40.5698823699085,8.30170503456086,26.4787013771229,25.5353596322021,18.3047171931385,34.2827901850046,21.0796680494755,19.485171796175,33.9067007963028,35.9316906534654,27.7179188963252,22.9271318850514,25.1067944625281,25.8305353628885,34.0703105667459,26.1771365841262,34.4724830934768,31.9383863494713,27.5721147063761,59.8651323370234,23.5357732273949,38.0796932140403,25.172880390935,24.1747727191943,34.8925539094852,30.25065300769,39.703512448731,37.5850819773767,33.3417207320775,33.4982231811851,29.5850167250102,39.0768387695832,38.7336174501354,33.9929535349492,33.961575123339,27.9885948001478,30.1502187900228,46.8504387327857,38.2234478165291,30.3915127328039,35.4421636918345,30.1556751138857,34.1108405739792,33.1119106626815,28.5908411533835,32.8467918107809
41.1238210101684,40.8677566750211,31.0147357418328,32.2334844965089,54.6522336395734,54.2374846665929,19.200691265415,31.9396986498649,34.7158379117555,45.7670878044004,28.1313717452046,29.6198227663417,40.5391771835222,33.3573493173817,24.1865319504093,32.6547725449618,21.0743565726197,35.7200412229562,30.2736015370999,20.8492385422996,39.6984503209897,20.5767146507236,15.9482437083569,22.9863779118012,29.3135178353498,32.18268395689,30.2944376910248,40.5230461747355,8.25220597440327,26.4312185452126,25.4942650551983,18.2787566765864,34.2935406744913,21.1072560001149,19.4593090442149,33.8845889091347,35.9278935803165,27.7149825717311,22.8837711127597,25.0738024098132,25.7969837199928,34.0280201095149,26.1596379887373,34.4657892112345,31.9160449852075,27.5306932334009,59.777225922914,23.5272338629631,38.0548869967193,25.1444373842325,24.1827587737655,34.913692765323,30.2149181015439,39.6274221284941,37.6015711869681,33.3579930218941,33.4491267474971,29.5262870328322,39.0421051474923,38.7341026995212,33.9594211360298,33.9610576495303,27.9688476410056,30.0940729807984,46.8513778510489,38.2319302219231,30.4003188988273,35.4071311873318,30.1657688257045,34.119920250164,33.0827459261229,28.5469927062102,32.8398650286407
41.0911554269615,40.8312256909242,30.9760274385712,32.2017201257786,54.6585094040533,54.1969528409635,19.1965944111925,31.9656218822907,34.7254905557996,45.7623635786085,28.0808093340801,29.5887525675608,40.5160533784815,33.3489800038409,24.1679741378267,32.626923549533,21.0233108783799,35.7431026877995,30.2166194568622,20.8178332869767,39.6557078816342,20.5205426968747,15.9655084379204,22.9459173521117,29.3051548236017,32.1723583457384,30.2524277352479,40.4762389862612,8.20243237476366,26.3836066366503,25.4531881126686,18.2524661250912,34.3038309176388,21.1345311147307,19.4327967762241,33.8622279102966,35.9239692453868,27.7116316757113,22.8403827636736,25.0406587110692,25.763320660686,33.9854479343195,26.1418517535701,34.4587384183025,31.8933255859982,27.489176824063,59.6891460721379,23.5183532019898,38.029784632382,25.115731079268,24.190340255817,34.9346509737852,30.1790357069436,39.5513483379477,37.6177592579822,33.3738817845333,33.3999716821483,29.4675016578726,39.0070400190751,38.7344551046555,33.9256993559269,33.9602122202691,27.9488814658753,30.0375691488873,46.8520982573117,38.2399893453441,30.4086083890907,35.3718579965085,30.175602093011,34.1286131975011,33.0531937006501,28.5032267744835,32.8330058927133
41.0582757116835,40.7944860719813,30.9369507834232,32.1695897533734,54.6644292699686,54.1563983653864,19.1922116022001,31.9913876123086,34.7349669604191,45.7573586848791,28.0300083010459,29.5577164695425,40.492541175329,33.340139278988,24.1491541689743,32.5986308603681,20.9722525250701,35.765743236617,30.159248736371,20.7863203009394,39.6129174277722,20.4642100365615,15.9822744329925,22.9050807208312,29.2966937838894,32.1617215661508,30.2102580355961,40.4294653340981,8.15239193457609,26.3358693323087,25.4121296087336,18.2258533132108,34.3136792150854,21.1614884186571,19.4056586324082,33.8396200543056,35.9199140247181,27.7078504231483,22.79696811807,25.0073672238667,25.7295501319376,33.9425977256153,26.1237956492549,34.4513274560974,31.870229829785,27.4475713742257,59.6008944754162,23.5091398343496,38.0043934740729,25.0867666730078,24.1975206272014,34.9554259188133,30.1430082374745,39.4752933442481,37.6336310832091,33.3893672521082,33.3507587188318,29.4086638460074,38.9716463014819,38.7346662311484,33.8917912427771,33.9590216129726,27.9286768649082,29.9807111322816,46.8525973742675,38.2476256021604,30.4163760004468,35.3363480072474,30.1851691928485,34.1369140509887,33.0232627586988,28.4595449164672,32.8262186695375
41.025191011227,40.7575404214035,30.8975154638066,32.1371020609429,54.6699795487126,54.1158237855794,19.187547056523,32.0169917663508,34.7442712621177,45.7520640528159,27.9789718694497,29.5267192324289,40.4686473221416,33.3308466637922,24.1300689208465,32.5699098862517,20.921183332718,35.7879644703587,30.1014979667056,20.7546965766595,39.5700802452615,20.4077190267076,15.9985119413151,22.8638810301992,29.2881260900019,32.1507763177687,30.1679424977836,40.3827297478585,8.10209235277465,26.2880103130605,25.3710903475136,18.1989260155028,34.323103867469,21.1881229372281,19.3779182529729,33.8167675956788,35.9157242943525,27.7036230289244,22.7535284562258,24.9739318057762,25.6956760807169,33.8994731678581,26.1054874464219,34.4435530660356,31.8467593945095,27.405882779752,59.5124728234702,23.4996023499175,37.9787208748367,25.0575493624179,24.2043033497715,34.9760149843489,30.1068381067222,39.3992594145517,37.6491715554393,33.4044296567315,33.3014885912403,29.349776843113,38.9359269118629,38.7347276446099,33.857699844717,33.9574686050579,27.9082144282557,29.9235027689731,46.8528726246095,38.2548394077402,30.4236165297487,35.3006051074313,30.1944644022605,34.1448174456253,32.9929618727046,28.4159486904254,32.8195076256516
40.9919104724846,40.7203913424022,30.8577311671389,32.1042657301364,54.6751465516784,54.0752316472602,19.1826049922467,32.0424302708496,34.7534075973994,45.7464706120225,27.9277032626392,29.4957656163616,40.4443785669965,33.321121679223,24.1107152704375,32.5407760359686,20.8701051213512,35.8097679899746,30.043375738945,20.7229591066089,39.5271976199595,20.3510720242366,16.0141912106301,22.8223312924551,29.2794431157283,32.1395253002336,30.1254950275244,40.3360367571548,8.05154132829341,26.2400332597786,25.3300711331289,18.1716920065251,34.3321231754279,21.214429695778,19.3495992781239,33.7936727889332,35.9113964303317,27.6989337079223,22.710065058418,24.9403563143684,25.6617024539934,33.8560779455036,26.0869449157014,34.4354119895336,31.8229159581136,27.3641169365051,59.423882807021,23.4897493385683,37.9527741877179,25.0280843444643,24.2106918853799,34.9964155543334,30.0705277282719,39.3232488160145,37.664365567463,33.4190492305161,33.2521620330667,29.2908438950655,38.8998847673685,38.73463091065,33.8234282098833,33.9555359739424,27.8874747460691,29.8659478969539,46.852921431031,38.2616311774519,30.4303247738491,35.2646331849431,30.2034819982904,34.1523180164092,32.9622998151033,28.3724396546219,32.8128770275944
40.958443242349,40.6830414381887,30.8176075808377,32.0710894426036,54.6799165902592,54.0346244961467,19.1773896274566,32.0676990522373,34.762380102768,45.7405692921027,27.876205703962,29.4648603814826,40.4197416579706,33.3109838462494,24.0910900947413,32.5112447183034,20.8190197109974,35.8311553964146,29.9848906441686,20.6911048832594,39.4842708377239,20.2942713860724,16.0292824886795,22.7804445198385,29.2706362348577,32.1279712131868,30.0829295305326,40.2893908915993,8.00074656006646,26.1919418533355,25.2890727697,18.1441590608353,34.3407554396003,21.2404037196409,19.3207253480668,33.7703378885859,35.9069268086977,27.6937666750241,22.6665792049233,24.9066446072138,25.6276331987363,33.8124157430075,26.0681858277236,34.4269009680077,31.7987011985387,27.3222797403482,59.3351261167899,23.4795893901767,37.9265607657612,24.9983768161131,24.2166896958792,35.0166250127085,30.0340795157093,39.2472638157931,37.6791980120704,33.4332062055747,33.2027797780039,29.2318682477411,38.8635227851489,38.7343675948789,33.7889793864125,33.9532064970433,27.8664384084995,29.8080503542159,46.8527412162254,38.2680013266638,30.4364955296011,35.2284361276657,30.2122162579814,34.159410398339,32.9312853583306,28.3290193673209,32.8063311419042
40.9247984677127,40.6454933119744,30.7771543923209,32.0375818799938,54.6842759758483,53.9940048779566,19.171905180238,32.0927940369461,34.7711929147272,45.7343510226599,27.8244824167657,29.4340082879335,40.3947433431411,33.3004526858408,24.0711902707523,32.481331342041,20.7679289216842,35.8521282906285,29.9260512734556,20.6591308990827,39.441301184412,20.2373194691385,16.0437560232052,22.7382337245887,29.2616968211793,32.1161167562699,30.0402599125223,40.2427966808043,7.94971574702787,26.1437397746041,25.2480960613473,18.1163349529911,34.3490189606241,21.2660400341508,19.2913201030073,33.7467651491539,35.9023118054924,27.6881061451125,22.6230721760187,24.872800541883,25.5934722619152,33.7684902448257,26.0492279531188,34.4180167428745,31.7741167937265,27.2803770871443,59.246204443498,23.4691310946177,37.9000879620113,24.9684319743304,24.2223002431221,35.0366407434156,29.9974958826195,39.171305332185,37.6936537820519,33.4468808140203,33.1533425597447,29.1728531470161,38.8268438823544,38.7339292629066,33.7543564224414,33.9504629517776,27.8450860056984,29.7498139787511,46.852329402886,38.273950270744,30.4421344356983,35.1920178234819,30.220661458377,34.1660892264129,32.8999272748221,28.2856893867861,32.7998742351197
40.8909852954684,40.6077528658981,30.7363828559237,32.0037517239565,54.6882110198388,53.9533753384079,19.166156402596,32.1177130437897,34.779850169781,45.727806733298,27.7725366243981,29.4032140958563,40.3693908980973,33.2895477189664,24.0510126754645,32.4510513159658,20.7168345734393,35.8726885556721,29.8668808335695,20.6270341465506,39.3982899458816,20.1802186303588,16.0575820619491,22.6957119799934,29.2526165819291,32.1039655811965,29.9974771719665,40.1962586543822,7.89844797462588,26.0954307044571,25.2071399039029,18.0882274575504,34.3569320391377,21.2913336990346,19.2614072221836,33.7229568251543,35.8975477967577,27.6819363330698,22.579545251981,24.8388279759466,25.5592235904993,33.7243051354138,26.0300890625171,34.4087560555504,31.7491644216188,27.2384148727565,59.1571194778666,23.4583843076858,37.8733631295126,24.9382550160822,24.2275264129233,35.0564601303963,29.9607792425882,39.0952701758893,37.7077295161734,33.4600538200299,33.1038511119819,29.1138000109759,38.7898510682068,38.7333081730213,33.7195623661066,33.9472881155628,27.8233981278171,29.6912426085516,46.851683413706,38.2794784250608,30.4474305241453,35.1553821602745,30.228812238039,34.1723491356293,32.8682343370137,28.2424512712816,32.7935105737794
40.8570162060654,40.5699300440022,30.6953060065292,31.9696076561413,54.6917080336238,53.9127365804563,19.1601811090915,32.1425565226795,34.7883597104187,45.7209286347525,27.7203717261328,29.3724804831705,40.3437247246331,33.2782487949031,24.0305550057888,32.4204090285939,20.6657384862904,35.8928901773802,29.8074163989864,20.594811078204,39.3552384079902,20.1229752941406,16.0707494922916,22.6528887246291,29.243417318017,32.0915892944723,29.9543719464104,40.149780785366,7.84694511634994,26.0470084271682,25.1661576210872,18.0598443490709,34.3645128679576,21.3162951089348,19.2310199644272,33.6989151711041,35.892650427078,27.6752999768314,22.5359997130872,24.804717772188,25.5248752252311,33.6798644688695,26.0107827931312,34.3991155380798,31.7238418392641,27.1963988289467,59.0678562108376,23.447317838392,37.8463936213099,24.9078580515862,24.2324447044283,35.0761252414549,29.923931991133,39.0191386016695,37.721677170665,33.4729352467757,33.054302754564,29.0546822156048,38.7525424836571,38.732548708784,33.6845993538583,33.9436726296271,27.8013553650067,29.6323476351083,46.8508202089919,38.2845862049827,30.452318768978,35.1185408814524,30.2366836314189,34.1781847609866,32.8362153173409,28.1993084561297,32.7872398329997
40.8228463727907,40.5320038913747,30.6539283716785,31.9351592216183,54.6948383721398,53.8720329551347,19.1539882196565,32.1673479481506,34.7967377060189,45.7137762170402,27.6680210651097,29.3417292733294,40.317743200868,33.2665708008807,24.0098904539705,32.3893904757555,20.6146194453942,35.9126569182282,29.747608631828,20.5625046614646,39.3121417179665,20.0655947599101,16.0837655416298,22.609737654031,29.2341602867908,32.0790267695373,29.9108978913696,40.1033451769151,7.79521305215301,25.9984415672203,25.1251275225033,18.0311934021102,34.3717288607408,21.3411060840439,19.2001123095622,33.6746463051801,35.8876502761347,27.6685285939885,22.4924121507941,24.7704597796423,25.4903961479473,33.6351998251122,25.9911968375898,34.389129786586,31.6980766572605,27.1543099056385,58.9783783083448,23.4358925278525,37.8191871561375,24.8772538898082,24.237110397755,35.095696653029,29.8869360111694,38.9429807542385,37.735597907852,33.4858016782244,33.0046681245071,28.9954417957795,38.7148999957817,38.7316650063198,33.6494668996384,33.9396416755676,27.7789802524856,29.5731675085393,46.8497096676155,38.2892480355128,30.456658139542,35.0815047575965,30.2443658811272,34.1835907374833,32.8038876852332,28.156213515202,32.7808898160388
